kepoi_name,koi_period,koi_prad,koi_depth,planet_prob
K00865.01,119.0207044,8.98,7430.5,1.0
K00901.01,12.732624065,4.87,6465.7,1.0
K04410.01,5.04404366,1.47,236.5,1.0
K04398.01,7.3422467,1.6,366.8,1.0
K04245.01,24.6683831,1.76,109.2,1.0
K01331.01,6.80082032,1.88,699.9,1.0
K01397.01,6.247030799,1.89,1496.6,1.0
K01315.01,6.84639884,1.9,149.7,1.0
K01733.01,19.18109525,1.72,865.4,1.0
K04570.01,35.0175053,2.13,292.0,1.0
K01420.01,13.35151248,4.44,3308.8,1.0
K04503.01,5.89089509,1.54,267.7,1.0
K04149.01,9.54699216,1.71,143.0,1.0
K02037.02,5.47715718,2.17,568.4,1.0
K04480.01,58.7488629,1.75,473.6,1.0
K02579.03,10.30148508,1.6,162.7,1.0
K00626.02,8.0292018,0.99,65.6,1.0
K01656.01,51.3901452,3.62,494.0,1.0
K01660.01,35.6364022,1.99,452.6,1.0
K01053.02,46.245164,2.46,492.1,1.0
K01338.02,42.0370662,1.66,266.8,1.0
K05384.01,7.95445779,9.5,6269.4,1.0
K01590.03,4.74666128,1.3,256.8,1.0
K04526.01,30.5392931,2.72,428.2,1.0
K04541.01,8.5291223,2.08,325.4,1.0
K04766.01,5.56676609,1.12,173.8,1.0
K04477.01,5.30179786,1.22,197.2,1.0
K02037.03,8.56267266,2.26,608.1,1.0
K06132.03,11.867172,4.03,595.6,1.0
K01590.01,12.89006728,1.93,602.5,1.0
K06179.01,16.2957847,2.13,409.8,1.0
K03864.02,18.2572722,0.94,157.5,1.0
K00641.01,14.85185526,2.73,1341.0,1.0
K04505.01,18.0071438,1.05,80.8,1.0
K03355.01,16.2953228,1.6,229.1,1.0
K03469.01,60.532988,1.91,467.5,1.0
K02401.01,38.2292037,1.51,605.8,1.0
K02942.01,13.84301228,1.98,567.8,1.0
K02550.01,18.0243482,1.98,441.2,1.0
K00935.04,9.61731426,1.94,234.0,1.0
K04428.01,13.00291716,1.28,225.3,1.0
K01145.01,30.5872153,2.32,464.8,1.0
K01362.01,20.51360192,2.58,1174.1,1.0
K04226.01,49.564693,1.63,113.5,1.0
K04431.01,19.5650801,0.97,61.7,1.0
K02900.01,46.151253,2.08,649.0,1.0
K02613.01,51.5738653,2.41,900.7,1.0
K02551.01,16.4793229,1.53,479.1,1.0
K02923.01,5.83892993,1.19,237.4,1.0
K02377.01,13.9034057,1.55,261.4,1.0
K02927.01,24.4359956,2.31,496.6,1.0
K02949.01,10.1747037,1.04,52.4,1.0
K04891.01,4.7309013,1.39,228.5,1.0
K01856.01,46.2991052,4.33,854.9,1.0
K03341.01,27.0965146,2.13,208.4,1.0
K02159.01,7.5966998,1.32,127.5,1.0
K02226.01,8.46354384,2.51,792.2,1.0
K03031.01,7.64809462,1.19,195.9,1.0
K02264.02,7.25101997,0.91,122.8,1.0
K03394.01,15.5764061,1.79,257.1,1.0
K02400.01,11.6191707,2.21,700.4,1.0
K03444.01,12.67143692,0.76,215.8,1.0
K02554.02,10.27127527,0.94,343.5,1.0
K02560.01,18.1209388,1.68,504.2,1.0
K02637.01,3.98864999,1.15,94.2,1.0
K03377.01,10.0100312,0.99,375.8,1.0
K03041.01,5.08288076,1.15,108.0,1.0
K03040.01,4.8099878,1.59,288.2,1.0
K03123.01,15.2311195,1.94,269.1,1.0
K01803.01,4.539297295,2.34,798.1,1.0
K01946.01,8.29482811,2.76,559.5,1.0
K03396.01,36.2580749,1.82,380.3,1.0
K01562.02,20.0679247,2.25,482.2,1.0
K00353.03,11.1619384,1.97,124.4,1.0
K02186.01,14.97974335,3.79,1211.8,1.0
K03337.01,11.16622885,1.56,353.9,1.0
K01861.01,17.50441726,3.56,725.4,1.0
K02009.01,86.7490807,2.23,547.1,1.0
K01934.01,28.78270955,2.11,864.5,1.0
K03069.01,43.1024434,1.88,299.8,1.0
K00350.01,12.99065074,2.02,392.3,1.0
K02984.01,11.45541896,1.12,68.6,1.0
K00426.01,16.30141333,3.84,942.3,1.0
K04774.01,51.567801,1.3,210.1,1.0
K00522.01,12.82993461,3.31,1417.4,1.0
K03020.01,10.9192653,1.9,91.1,1.0
K03142.01,27.9430245,2.21,308.6,1.0
K03323.01,14.3196417,2.06,215.5,1.0
K03111.01,10.76800074,0.92,65.1,1.0
K02821.01,79.2450351,3.33,1347.3,1.0
K04811.01,21.7434141,2.23,154.8,1.0
K02449.01,53.3580444,3.41,736.1,1.0
K02531.01,17.6997392,1.96,752.7,1.0
K03052.01,10.12956201,0.78,81.3,1.0
K02972.01,13.2511214,1.98,266.5,1.0
K02720.01,6.57159435,1.26,65.7,0.9997927071424274
K04452.01,12.85755895,1.23,106.5,0.9997463353911034
K03371.01,58.1263775,1.32,271.5,0.9996286571642911
K00501.01,24.7962801,2.7,574.4,0.9996280017152659
K01151.04,17.4532945,0.76,79.3,0.9996218637992831
K01399.01,8.75059775,2.27,881.9,0.9996205437199626
K02189.01,33.35859852,4.44,1825.9,0.999528224282443
K01630.01,11.30507984,1.4,278.4,0.9994958996623251
K02963.02,7.35101287,1.42,115.9,0.999394098743792
K01884.02,4.77502117,1.73,451.4,0.999394098743792
K03209.01,11.91256675,2.61,123.1,0.9993923458954135
K01573.02,7.136922,1.38,221.6,0.9993920537540169
K03340.02,13.7281373,1.06,106.6,0.9993920537540169
K03391.01,36.7662364,1.28,579.5,0.9993917616126204
K04021.01,7.23531329,1.53,112.2,0.9993888401986561
K02598.01,29.2254372,1.35,174.1,0.9993867952088812
K01972.01,17.79108667,2.88,414.2,0.9993850423605024
K04318.01,14.8162925,1.57,108.2,0.9993832895121239
K02958.01,31.6084371,1.89,331.6,0.9993832895121239
K02641.01,3.55557922,0.84,60.4,0.9993818288051417
K04972.01,26.092284,1.35,122.4,0.9993812445223489
K03329.01,12.6878176,2.16,293.0,0.999378030966988
K02764.01,2.252976718,1.19,467.9,0.9993686824423021
K04856.01,147.388124,3.03,909.2,0.9993663453111307
K03043.01,3.08942807,1.07,85.3,0.9993643003213557
K02915.01,5.06092282,0.98,71.6,0.9993643003213557
K03034.01,31.0209175,1.66,859.5,0.9992557848538243
K02976.01,21.61313362,1.94,818.1,0.9991239178188397
K03312.01,18.0939004,1.91,467.3,0.9991201135337375
K03455.01,14.0545718,1.45,274.3,0.9991201135337375
K04763.01,56.446465,1.57,147.9,0.9991175838810843
K02206.01,1.834277283,1.64,286.5,0.9991160054954491
K04032.05,7.23524221,0.82,60.0,0.9991140622741229
K03374.02,34.1086562,1.95,133.8,0.9991125401929261
K01537.01,10.19154678,1.39,61.3,0.9991102644359692
K04273.01,17.3731821,1.31,71.7,0.9990984654731458
K03448.01,32.510844,2.62,361.9,0.9990962906179465
K05333.01,20.5477769,1.67,253.8,0.9990922619047619
K01151.05,21.7203362,0.8,87.8,0.9990261874919503
K00298.02,57.3840375,1.62,241.7,0.99898967601908
K05748.01,29.9371143,1.19,194.3,0.9989843059552453
K04827.01,31.1920226,1.65,447.8,0.9989843059552453
K01574.03,5.83393857,1.98,134.4,0.9989402495466102
K00777.01,40.4195037,7.51,6256.0,0.998938186951699
K02656.01,6.77367892,1.33,150.7,0.9989291967019267
K03339.01,23.1334494,2.55,456.3,0.9987858603564125
K05327.01,5.43361347,2.09,1421.0,0.9987718375693836
K02935.01,27.8813154,1.54,209.2,0.9987645340344727
K04149.02,14.708641,1.82,130.6,0.9987349265664028
K01473.01,23.02028478,7.58,5077.8,0.9985694617028495
K06707.01,43.535891,1.86,576.6,0.9985671914529984
