kepid,kepoi_name,kepler_name,koi_disposition,koi_period,koi_time0bk,koi_duration,koi_depth,koi_prad,koi_impact,koi_model_snr,koi_num_transits,koi_steff,koi_slogg,koi_srad,koi_kepmag
10797460,K00752.01,Kepler-227 b,CONFIRMED,9.48803557,170.53875,2.9575,615.8,2.26,0.146,35.8,142.0,5455.0,4.467,0.927,15.347
10797460,K00752.02,Kepler-227 c,CONFIRMED,54.4183827,162.51384,4.507,874.8,2.83,0.586,25.8,25.0,5455.0,4.467,0.927,15.347
10811496,K00753.01,,CANDIDATE,19.89913995,175.850252,1.7822,10829.0,14.6,0.969,76.3,56.0,5853.0,4.544,0.868,15.436
10848459,K00754.01,,FALSE POSITIVE,1.736952453,170.307565,2.40641,8079.2,33.46,1.276,505.6,621.0,5805.0,4.564,0.791,15.597
10854555,K00755.01,Kepler-664 b,CONFIRMED,2.525591777,171.59555,1.6545,603.3,2.75,0.701,40.9,515.0,6031.0,4.438,1.046,15.509
10872983,K00756.01,Kepler-228 d,CONFIRMED,11.09432054,171.20116,4.5945,1517.5,3.9,0.538,66.5,95.0,6046.0,4.486,0.972,15.714
10872983,K00756.02,Kepler-228 c,CONFIRMED,4.13443512,172.97937,3.1402,686.0,2.77,0.762,40.2,240.0,6046.0,4.486,0.972,15.714
10872983,K00756.03,Kepler-228 b,CONFIRMED,2.56658897,179.55437,2.429,226.5,1.59,0.755,15.0,355.0,6046.0,4.486,0.972,15.714
6721123,K00114.01,,FALSE POSITIVE,7.36178958,132.25053,5.022,233.7,39.21,1.169,47.7,185.0,6227.0,3.986,1.958,12.66
10910878,K00757.01,Kepler-229 c,CONFIRMED,16.06864674,173.621937,3.5347,4914.3,5.76,0.052,161.9,69.0,5031.0,4.485,0.848,15.841
11446443,K00001.01,Kepler-1 b,CONFIRMED,2.470613377,122.763305,1.74319,14230.9,13.04,0.818,4304.3,432.0,5820.0,4.457,0.964,11.338
10666592,K00002.01,Kepler-2 b,CONFIRMED,2.204735417,121.3585417,3.88864,6674.7,16.1,0.224,5945.9,611.0,6440.0,4.019,1.952,10.463
6922244,K00010.01,Kepler-8 b,CONFIRMED,3.522498429,121.1194228,3.19843,9145.7,14.59,0.631,1741.5,384.0,6225.0,4.169,1.451,13.563
10984090,K00112.02,Kepler-466 c,CONFIRMED,3.709214104,133.98318,2.6302,131.1,1.16,0.051,50.6,352.0,5833.0,4.407,1.022,12.772
10419211,K00742.01,,FALSE POSITIVE,11.521446064,170.839688,3.6399,17984.3,150.51,2.483,622.1,96.0,5795.0,4.554,0.848,15.472
10464078,K00743.01,,FALSE POSITIVE,19.40393776,172.484253,12.2155,8918.7,7.18,0.804,214.7,71.0,5043.0,4.591,0.68,15.487
10480982,K00744.01,,FALSE POSITIVE,19.221388942,184.5521637,4.79843,74284.0,49.29,1.065,2317.0,55.0,6117.0,4.496,0.947,15.341
10485250,K00745.01,,FALSE POSITIVE,16.46983774,180.881761,9.4378,10478.9,7.94,0.292,303.4,66.0,5152.0,4.517,0.786,15.788
10526549,K00746.01,Kepler-660 b,CONFIRMED,9.27358173,173.258155,3.2875,1288.3,2.47,0.387,87.2,144.0,4856.0,4.583,0.696,15.302
10583066,K00747.01,Kepler-661 b,CONFIRMED,6.02930329,171.602959,1.5821,1912.7,2.85,0.258,65.4,215.0,4537.0,4.648,0.672,15.784
10583180,K00748.01,,FALSE POSITIVE,2.696370652,170.73769,3.6129,397.9,1.58,0.044,48.2,501.0,4989.0,4.504,0.819,15.269
10601284,K00749.01,Kepler-226 c,CONFIRMED,5.349553819,171.80694,3.0278,831.0,2.55,0.092,60.6,247.0,5185.0,4.44,0.91,15.416
10601284,K00749.02,Kepler-226 b,CONFIRMED,3.94105221,136.08662,2.5984,363.3,1.7,0.226,28.9,322.0,5185.0,4.44,0.91,15.416
10601284,K00749.03,Kepler-226 d,CONFIRMED,8.10904807,132.8031,3.596,217.4,1.3,0.025,14.1,141.0,5185.0,4.44,0.91,15.416
2306756,K00113.01,,FALSE POSITIVE,386.6030528,166.342079,6.8057,24926.6,41.5,0.9765,994.0,,5543.0,4.081,1.58,12.394
10662202,K00750.01,Kepler-662 b,CONFIRMED,21.67699193,171.53594,3.4555,857.2,2.95,0.896,34.3,62.0,4954.0,4.5,0.828,15.377
10682541,K00751.01,Kepler-663 b,CONFIRMED,4.99677968,171.74208,2.1717,934.7,2.78,0.71,28.2,208.0,5339.0,4.552,0.847,15.861
11460018,K00769.01,Kepler-671 b,CONFIRMED,4.280963604,171.89659,2.875,750.8,2.3,0.424,61.8,311.0,5644.0,4.564,0.831,15.356
11463211,K00770.01,,FALSE POSITIVE,1.50635409,170.998064,1.5155,2211.7,4.53,0.86,181.1,882.0,5714.0,4.563,0.831,15.525
11465813,K00771.01,,FALSE POSITIVE,670.645531,209.04355,53.412,18090.6,14.14,0.701,642.7,3.0,5520.0,4.466,0.983,15.207
11493732,K00772.01,,FALSE POSITIVE,61.2563628,173.83826,7.633,5123.3,39.87,1.248,85.3,13.0,6144.0,4.402,1.091,15.25
11507101,K00773.01,Kepler-672 b,CONFIRMED,38.3775486,172.82048,5.588,724.2,2.82,0.468,34.7,37.0,5481.0,4.369,1.036,15.172
10910878,K00757.02,Kepler-229 d,CONFIRMED,41.19725502,165.00404,4.6297,2213.9,3.86,0.045,51.2,26.0,5031.0,4.485,0.848,15.841
10910878,K00757.03,Kepler-229 b,CONFIRMED,6.252962249,171.30126,2.5819,1036.9,2.65,0.105,47.1,167.0,5031.0,4.485,0.848,15.841
10987985,K00758.01,Kepler-665 b,CONFIRMED,16.01308419,176.3608,3.2554,1121.9,3.1,0.799,33.2,65.0,5015.0,4.499,0.826,15.39
11018648,K00759.01,Kepler-230 b,CONFIRMED,32.62876672,194.1019,4.7971,1804.8,3.36,0.021,80.0,34.0,5586.0,4.56,0.798,15.082
11018648,K00759.02,Kepler-230 c,CONFIRMED,91.7732862,193.8378,6.473,652.0,2.12,0.606,19.1,11.0,5586.0,4.56,0.798,15.082
11138155,K00760.01,Kepler-1976 b,CONFIRMED,4.959319244,172.2585292,2.22739,9802.0,12.21,0.831,696.5,269.0,5712.0,4.359,1.082,15.263
11152159,K00761.01,,FALSE POSITIVE,2.701287801,170.69579,3.3827,860.4,6.54,1.016,48.3,387.0,5550.0,4.468,0.91,15.54
11153539,K00762.01,Kepler-666 b,CONFIRMED,4.49876511,171.34905,3.7362,460.0,2.1,0.312,29.5,238.0,6075.0,4.486,0.969,15.395
11242721,K00763.01,,FALSE POSITIVE,19.651209505,179.401981,5.2514,11766.3,12.42,0.723,513.4,59.0,6074.0,4.391,1.063,15.536
9579641,K00115.01,Kepler-105 b,CONFIRMED,5.412203927,133.143089,2.9472,601.6,2.94,0.787,166.7,244.0,5779.0,4.339,1.087,12.791
11304958,K00764.01,Kepler-667 b,CONFIRMED,41.43958662,208.93203,10.5989,2793.1,5.5,0.355,141.1,33.0,5468.0,4.367,1.046,15.4
11391957,K00765.01,Kepler-668 b,CONFIRMED,8.35389523,171.63257,2.2514,1041.6,2.52,0.023,43.4,127.0,5592.0,4.582,0.787,15.317
11403044,K00766.01,Kepler-669 b,CONFIRMED,4.125543472,169.752585,3.1744,1487.3,4.43,0.597,128.6,323.0,6174.0,4.417,1.103,15.506
11414511,K00767.01,Kepler-670 b,CONFIRMED,2.816504904,170.9676846,2.50587,16813.7,12.21,0.105,1406.8,474.0,5532.0,4.452,0.955,15.052
11442465,K00768.01,,FALSE POSITIVE,33.93373447,186.67608,14.561,8503.7,7.34,0.812,236.1,31.0,5040.0,4.628,0.705,15.716
12110942,K00786.01,Kepler-680 b,CONFIRMED,3.689920099,170.36571,2.6557,426.7,1.89,0.151,35.6,360.0,5880.0,4.518,0.917,15.242
12366084,K00787.01,Kepler-232 b,CONFIRMED,4.431238488,171.015,3.15,1010.9,3.25,0.405,71.1,302.0,5714.0,4.428,1.015,15.367
12366084,K00787.02,Kepler-232 c,CONFIRMED,11.37936986,133.84992,2.6255,1023.5,3.95,0.911,37.9,109.0,5714.0,4.428,1.015,15.367
12404086,K00788.01,Kepler-681 b,CONFIRMED,26.39432897,176.05459,3.573,1510.9,3.07,0.602,48.2,51.0,5129.0,4.595,0.763,15.234
8395660,K00116.01,Kepler-106 c,CONFIRMED,13.57078281,136.279194,3.3539,511.7,2.64,0.866,88.4,101.0,5854.0,4.406,1.012,12.882
9579641,K00115.02,Kepler-105 c,CONFIRMED,7.12594387,139.00492,3.0014,192.4,1.79,0.898,47.1,181.0,5779.0,4.339,1.087,12.791
11656840,K00774.01,,FALSE POSITIVE,7.442652004,169.9717797,2.3078,24446.2,15.03,0.137,835.6,180.0,6108.0,4.469,0.956,15.27
11754553,K00775.01,Kepler-52 c,CONFIRMED,16.38489988,172.72782,3.0249,1127.1,2.0,0.001,28.9,65.0,4126.0,4.661,0.615,15.095
11754553,K00775.02,Kepler-52 b,CONFIRMED,7.8774163,176.3759,2.0805,1306.1,2.16,0.041,38.7,135.0,4126.0,4.661,0.615,15.095
11754553,K00775.03,Kepler-52 d,CONFIRMED,36.4454001,151.60125,4.007,1122.3,1.99,0.028,21.7,27.0,4126.0,4.661,0.615,15.095
11812062,K00776.01,Kepler-673 b,CONFIRMED,3.728732147,171.793255,2.683,5226.5,6.02,0.558,345.2,357.0,5497.0,4.577,0.809,15.523
11818800,K00777.01,,CANDIDATE,40.4195037,173.56469,3.362,6256.0,7.51,0.911,36.9,36.0,5446.0,4.507,0.781,15.487
11853255,K00778.01,Kepler-674 b,CONFIRMED,2.243380573,170.679233,1.1196,821.7,1.99,0.915,38.9,472.0,4149.0,4.698,0.564,15.135
